,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,Animation,Mystery,Romance,Fantasy,Family,Talk-Show,Sci-Fi,\N,Western,Film-Noir,Documentary,Adventure,Biography,Adult,Short,War,Crime,News,Drama,Reality-TV,Horror,Musical,Music,History,Comedy,Game-Show,Sport,Thriller,Action
3437,tt0003471,movie,Traffic in Souls,Traffic in Souls,0,1913,\N,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
3708,tt0003743,movie,The Call of the North,The Call of the North,0,1914,\N,\N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4245,tt0004294,movie,The Man from Home,The Man from Home,0,1914,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4287,tt0004336,movie,The Million Dollar Mystery,The Million Dollar Mystery,0,1914,\N,\N,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4491,tt0004545,movie,Rose of the Rancho,Rose of the Rancho,0,1914,\N,\N,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4580,tt0004635,movie,The Squaw Man,The Squaw Man,0,1914,\N,74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4733,tt0004792,movie,What's His Name,What's His Name,0,1914,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4845,tt0004905,movie,The Arab,The Arab,0,1915,\N,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4912,tt0004972,movie,The Birth of a Nation,The Birth of a Nation,0,1915,\N,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
4997,tt0005059,movie,The Captive,The Captive,0,1915,\N,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4998,tt0005060,movie,Carmen,Carmen,0,1915,\N,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5014,tt0005076,movie,Charley's Aunt,Charley's Aunt,0,1925,\N,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5025,tt0005087,movie,Chimmie Fadden Out West,Chimmie Fadden Out West,0,1915,\N,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5328,tt0005393,movie,The Girl of the Golden West,The Girl of the Golden West,0,1915,\N,50,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
